OMNIKNIGHT, PUDGE, SPECTRE, LEGION COMMANDER, DISRUPTOR, MEDUSA, ABADDON, WRAITH KING, PUGNA, NECROPHOS
TINY, WEAVER, EARTHSHAKER, STORM SPIRIT, PUDGE, NIGHT STALKER, FACELESS VOID, INVOKER, CHEN, DROW RANGER
BRISTLEBACK, PHANTOM ASSASSIN, LIFESTEALER, RIKI, BATRIDER, MIRANA, SLARK, CHEN, TUSK, BLOODSEEKER
LEGION COMMANDER, AXE, CLINKZ, DRAGON KNIGHT, PHANTOM ASSASSIN, CHEN, TIDEHUNTER, MORPHLING, IO, SHADOW DEMON
TIDEHUNTER, FACELESS VOID, VENOMANCER, WINDRANGER, PUDGE, TINKER, BLOODSEEKER, CHEN, CRYSTAL MAIDEN, ALCHEMIST
ZEUS, PUDGE, STORM SPIRIT, WEAVER, CLINKZ, LINA, OUTWORLD DEVOURER, ENIGMA, ANCIENT APPARITION, SNIPER
HUSKAR, MIRANA, RIKI, LION, WARLOCK, VIPER, PHANTOM ASSASSIN, CLINKZ, SLARDAR, BOUNTY HUNTER
SVEN, CLINKZ, EARTHSHAKER, LICH, LEGION COMMANDER, INVOKER, BOUNTY HUNTER, LIFESTEALER, CRYSTAL MAIDEN, DROW RANGER
PHANTOM ASSASSIN, PUDGE, LIFESTEALER, TIDEHUNTER, CLINKZ, LUNA, CRYSTAL MAIDEN, VIPER, WRAITH KING, WINDRANGER
JUGGERNAUT, PUDGE, PHANTOM ASSASSIN, VENGEFUL SPIRIT, MIRANA, LYCAN, PUCK, MAGNUS, SLARDAR, CLINKZ
CLINKZ, TIMBERSAW, BEASTMASTER, TEMPLAR ASSASSIN, ARC WARDEN, CRYSTAL MAIDEN, EARTHSHAKER, PUGNA, PHANTOM ASSASSIN, PUDGE
EARTHSHAKER, WITCH DOCTOR, CLINKZ, KEEPER OF THE LIGHT, MORPHLING, TIMBERSAW, SAND KING, LIFESTEALER, JUGGERNAUT, WINDRANGER
PHANTOM ASSASSIN, CLINKZ, WRAITH KING, SLARK, DROW RANGER, PUCK, ENCHANTRESS, HUSKAR, RIKI, SVEN
SHADOW DEMON, VENOMANCER, PHANTOM ASSASSIN, SLARDAR, PUDGE, NECROPHOS, SNIPER, CLINKZ, NYX ASSASSIN, LION
CLINKZ, OMNIKNIGHT, PHANTOM ASSASSIN, NYX ASSASSIN, ZEUS, MIRANA, BOUNTY HUNTER, NECROPHOS, SPECTRE, LEGION COMMANDER
SPECTRE, VENGEFUL SPIRIT, WINDRANGER, MIRANA, SLARK, LIFESTEALER, TROLL WARLORD, CLOCKWERK, VIPER, CRYSTAL MAIDEN
TINKER, CLOCKWERK, WINDRANGER, UNDYING, DROW RANGER, NIGHT STALKER, NECROPHOS, JUGGERNAUT, BOUNTY HUNTER, AXE
CRYSTAL MAIDEN, CLOCKWERK, JUGGERNAUT, SHADOW FIEND, ENIGMA, DAZZLE, TROLL WARLORD, PUDGE, LUNA, TIMBERSAW
PUCK, LEGION COMMANDER, CLINKZ, SLARDAR, WRAITH KING, MORPHLING, ENIGMA, CLOCKWERK, ALCHEMIST, WITCH DOCTOR
WINTER WYVERN, FACELESS VOID, DRAGON KNIGHT, TIMBERSAW, OGRE MAGI, VIPER, LEGION COMMANDER, CLOCKWERK, WARLOCK, PHOENIX
STORM SPIRIT, LEGION COMMANDER, CLOCKWERK, CLINKZ, MORPHLING, LICH, ALCHEMIST, WINDRANGER, SLARK, INVOKER
WITCH DOCTOR, SPIRIT BREAKER, SHADOW FIEND, PHANTOM ASSASSIN, TIDEHUNTER, CLOCKWERK, TEMPLAR ASSASSIN, MAGNUS, VENOMANCER, SPECTRE
ARC WARDEN, BOUNTY HUNTER, CLOCKWERK, STORM SPIRIT, SVEN, PUDGE, LION, SNIPER, TERRORBLADE, TECHIES
NECROPHOS, INVOKER, PUDGE, OMNIKNIGHT, PHANTOM ASSASSIN, ALCHEMIST, CLOCKWERK, WARLOCK, SNIPER, WITCH DOCTOR
WRAITH KING, JUGGERNAUT, OGRE MAGI, RUBICK, LIFESTEALER, CLOCKWERK, TIMBERSAW, MIRANA, EMBER SPIRIT, PUDGE
LIFESTEALER, JAKIRO, SPECTRE, PUDGE, INVOKER, JUGGERNAUT, CRYSTAL MAIDEN, TEMPLAR ASSASSIN, TIMBERSAW, SVEN
LEGION COMMANDER, PHANTOM ASSASSIN, SNIPER, VENOMANCER, PUDGE, TINY, BRISTLEBACK, CRYSTAL MAIDEN, JUGGERNAUT, OUTWORLD DEVOURER
CLOCKWERK, UNDYING, CRYSTAL MAIDEN, NIGHT STALKER, TIMBERSAW, WINDRANGER, BLOODSEEKER, RIKI, EARTHSHAKER, LIFESTEALER
INVOKER, PUDGE, PUCK, LION, LEGION COMMANDER, MIRANA, SVEN, SPIRIT BREAKER, WINDRANGER, CRYSTAL MAIDEN
FACELESS VOID, CRYSTAL MAIDEN, JUGGERNAUT, SILENCER, DISRUPTOR, PHANTOM ASSASSIN, UNDYING, VENOMANCER, PHANTOM LANCER, EMBER SPIRIT
EARTHSHAKER, RIKI, VIPER, CLINKZ, CRYSTAL MAIDEN, HUSKAR, LINA, NECROPHOS, ZEUS, BLOODSEEKER
SVEN, CRYSTAL MAIDEN, STORM SPIRIT, LION, BLOODSEEKER, ANCIENT APPARITION, LEGION COMMANDER, OGRE MAGI, MIRANA, AXE
SVEN, PUDGE, SHADOW FIEND, BOUNTY HUNTER, PHANTOM ASSASSIN, PHOENIX, INVOKER, CENTAUR WARRUNNER, CRYSTAL MAIDEN, CLINKZ
ANCIENT APPARITION, DROW RANGER, TIMBERSAW, FACELESS VOID, VENGEFUL SPIRIT, MAGNUS, WINDRANGER, TIDEHUNTER, CRYSTAL MAIDEN, TERRORBLADE
BOUNTY HUNTER, CRYSTAL MAIDEN, PUDGE, NYX ASSASSIN, CLINKZ, NECROPHOS, SAND KING, ALCHEMIST, ZEUS, SVEN
RUBICK, DEATH PROPHET, PHANTOM ASSASSIN, DARK SEER, MEEPO, BRISTLEBACK, TROLL WARLORD, ANTI-MAGE, CLINKZ, SHADOW FIEND
SPIRIT BREAKER, FACELESS VOID, LEGION COMMANDER, INVOKER, PHANTOM ASSASSIN, BOUNTY HUNTER, RAZOR, DARK SEER, RIKI, ENIGMA
LICH, BRISTLEBACK, SHADOW FIEND, ELDER TITAN, DARK SEER, BEASTMASTER, PUCK, ANCIENT APPARITION, TREANT PROTECTOR, TEMPLAR ASSASSIN
DARK SEER, PUDGE, KUNKKA, URSA, PHANTOM LANCER, WEAVER, SVEN, TEMPLAR ASSASSIN, ZEUS, WITCH DOCTOR
PUCK, ENCHANTRESS, TUSK, ANCIENT APPARITION, EMBER SPIRIT, ZEUS, ORACLE, DARK SEER, JAKIRO, DRAGON KNIGHT
RIKI, SHADOW FIEND, SLARDAR, PHANTOM ASSASSIN, WRAITH KING, CENTAUR WARRUNNER, JAKIRO, DARK SEER, LINA, SNIPER
AXE, WINDRANGER, PHANTOM ASSASSIN, BOUNTY HUNTER, LEGION COMMANDER, SHADOW SHAMAN, BRISTLEBACK, INVOKER, WRAITH KING, DARK SEER
LIFESTEALER, DROW RANGER, SLARK, MIRANA, PUDGE, OMNIKNIGHT, KUNKKA, DARK SEER, WINDRANGER, AXE
DARK SEER, DISRUPTOR, PHANTOM ASSASSIN, PUCK, LEGION COMMANDER, VIPER, ALCHEMIST, PUDGE, TINKER, SLARK
DARK SEER, BROODMOTHER, DROW RANGER, RIKI, INVOKER, HUSKAR, FACELESS VOID, WINDRANGER, VENGEFUL SPIRIT, ORACLE
SLARK, WEAVER, SAND KING, TEMPLAR ASSASSIN, TINKER, SVEN, DAZZLE, DARK SEER, WRAITH KING, PUDGE
SLARK, KUNKKA, TINY, RIKI, LICH, DARK SEER, BROODMOTHER, SVEN, MIRANA, PUDGE
BEASTMASTER, BROODMOTHER, DARK SEER, DAZZLE, LYCAN, CHEN, LION, BATRIDER, TERRORBLADE, LEGION COMMANDER
DROW RANGER, SLARDAR, TROLL WARLORD, DAZZLE, STORM SPIRIT, PUDGE, LIFESTEALER, ABADDON, PHANTOM ASSASSIN, NATURES PROPHET
PHANTOM ASSASSIN, INVOKER, PUDGE, ALCHEMIST, EARTHSHAKER, MIRANA, DAZZLE, TERRORBLADE, JUGGERNAUT, SNIPER
PHANTOM ASSASSIN, DISRUPTOR, MIRANA, TUSK, ALCHEMIST, WRAITH KING, JUGGERNAUT, CLOCKWERK, DAZZLE, NECROPHOS
INVOKER, AXE, ANCIENT APPARITION, EARTHSHAKER, TERRORBLADE, NATURES PROPHET, HUSKAR, TIMBERSAW, LION, DAZZLE
OGRE MAGI, WINDRANGER, CENTAUR WARRUNNER, DROW RANGER, DAZZLE, PUDGE, TERRORBLADE, TINY, JUGGERNAUT, PHANTOM ASSASSIN
WINDRANGER, NECROPHOS, SHADOW SHAMAN, BLOODSEEKER, KUNKKA, DAZZLE, ALCHEMIST, EARTH SPIRIT, PUDGE, VENOMANCER
INVOKER, SAND KING, PHANTOM ASSASSIN, CLINKZ, DAZZLE, PUDGE, MIRANA, SNIPER, SHADOW FIEND, EMBER SPIRIT
QUEEN OF PAIN, RIKI, SLARK, MIRANA, RUBICK, JUGGERNAUT, TINY, DEATH PROPHET, DROW RANGER, PHANTOM ASSASSIN
TUSK, DROW RANGER, UNDYING, DEATH PROPHET, MIRANA, STORM SPIRIT, BLOODSEEKER, SVEN, IO, BEASTMASTER
DEATH PROPHET, MIRANA, TERRORBLADE, LEGION COMMANDER, MORPHLING, SLARK, PUDGE, KEEPER OF THE LIGHT, ANTI-MAGE, DARK SEER
LIFESTEALER, LICH, SKYWRATH MAGE, JAKIRO, DEATH PROPHET, BLOODSEEKER, CRYSTAL MAIDEN, PHOENIX, TIMBERSAW, RUBICK
INVOKER, SLARK, LEGION COMMANDER, WINDRANGER, ENIGMA, DEATH PROPHET, MORPHLING, NATURES PROPHET, FACELESS VOID, LION
KUNKKA, SHADOW SHAMAN, TINKER, LEGION COMMANDER, LIFESTEALER, MEDUSA, DEATH PROPHET, WITCH DOCTOR, TERRORBLADE, TECHIES
ZEUS, PHANTOM ASSASSIN, JUGGERNAUT, LIFESTEALER, NATURES PROPHET, FACELESS VOID, MIRANA, BRISTLEBACK, EMBER SPIRIT, DEATH PROPHET
NECROPHOS, DEATH PROPHET, SPECTRE, LESHRAC, CHAOS KNIGHT, JUGGERNAUT, SHADOW DEMON, LEGION COMMANDER, LION, BRISTLEBACK
BROODMOTHER, STORM SPIRIT, ENIGMA, MIRANA, RAZOR, SLARDAR, DEATH PROPHET, SLARK, SAND KING, ANTI-MAGE
DEATH PROPHET, ANTI-MAGE, ORACLE, LEGION COMMANDER, TIMBERSAW, OMNIKNIGHT, PUDGE, PHANTOM ASSASSIN, PHOENIX, SLARK
FACELESS VOID, LION, MIRANA, DAZZLE, JUGGERNAUT, INVOKER, ELDER TITAN, LUNA, BLOODSEEKER, ZEUS
JUGGERNAUT, BLOODSEEKER, INVOKER, WRAITH KING, TECHIES, SHADOW FIEND, ANTI-MAGE, PUDGE, MEDUSA, MIRANA
AXE, INVOKER, JAKIRO, LUNA, URSA, TEMPLAR ASSASSIN, OGRE MAGI, JUGGERNAUT, MAGNUS, SVEN
OMNIKNIGHT, SNIPER, RIKI, DRAGON KNIGHT, EARTH SPIRIT, SLARK, SPIRIT BREAKER, SILENCER, SPECTRE, DISRUPTOR
PUDGE, MIRANA, PHANTOM ASSASSIN, AXE, LEGION COMMANDER, EMBER SPIRIT, BOUNTY HUNTER, JUGGERNAUT, MEDUSA, OGRE MAGI
MAGNUS, SHADOW FIEND, SAND KING, DISRUPTOR, PHANTOM ASSASSIN, BLOODSEEKER, CENTAUR WARRUNNER, INVOKER, LUNA, JAKIRO
SAND KING, ARC WARDEN, OUTWORLD DEVOURER, WITCH DOCTOR, MAGNUS, SILENCER, JUGGERNAUT, INVOKER, PHOENIX, TUSK
BEASTMASTER, LINA, INVOKER, SPECTRE, BLOODSEEKER, DAZZLE, ANTI-MAGE, HUSKAR, ZEUS, LEGION COMMANDER
DROW RANGER, RUBICK, TINY, JUGGERNAUT, ALCHEMIST, SNIPER, OGRE MAGI, SLARK, SPECTRE, MAGNUS
SLARK, PUDGE, SHADOW FIEND, SILENCER, CRYSTAL MAIDEN, ARC WARDEN, LIFESTEALER, INVOKER, OGRE MAGI, SVEN
NAGA SIREN, LINA, LEGION COMMANDER, LESHRAC, DAZZLE, EARTHSHAKER, INVOKER, BLOODSEEKER, ARC WARDEN, MAGNUS
PHANTOM ASSASSIN, VENGEFUL SPIRIT, KEEPER OF THE LIGHT, AXE, INVOKER, TEMPLAR ASSASSIN, SHADOW FIEND, JUGGERNAUT, PUDGE, MIRANA
NIGHT STALKER, OUTWORLD DEVOURER, JUGGERNAUT, OGRE MAGI, OMNIKNIGHT, SPIRIT BREAKER, AXE, SNIPER, INVOKER, DEATH PROPHET
INVOKER, WRAITH KING, ANTI-MAGE, PUDGE, SLARK, SAND KING, SHADOW FIEND, CRYSTAL MAIDEN, NAGA SIREN, BOUNTY HUNTER
SNIPER, SHADOW FIEND, TECHIES, BROODMOTHER, AXE, EARTHSHAKER, MEEPO, NECROPHOS, SAND KING, SVEN
AXE, ANTI-MAGE, TIDEHUNTER, ALCHEMIST, SILENCER, DRAGON KNIGHT, PHANTOM ASSASSIN, SPIRIT BREAKER, DISRUPTOR, OMNIKNIGHT
MIRANA, NAGA SIREN, SLARDAR, WARLOCK, LION, SHADOW FIEND, WRAITH KING, RIKI, SPIRIT BREAKER, AXE
DAZZLE, INVOKER, WINDRANGER, DROW RANGER, LEGION COMMANDER, EMBER SPIRIT, PHANTOM ASSASSIN, BLOODSEEKER, NECROPHOS, EARTH SPIRIT
MIRANA, SHADOW FIEND, TINKER, AXE, PHOENIX, DARK SEER, SNIPER, WARLOCK, KUNKKA, JUGGERNAUT
WINDRANGER, SVEN, BOUNTY HUNTER, MAGNUS, LEGION COMMANDER, PUDGE, KEEPER OF THE LIGHT, TROLL WARLORD, INVOKER, SHADOW FIEND
SLARDAR, DRAGON KNIGHT, VENGEFUL SPIRIT, RIKI, DROW RANGER, LEGION COMMANDER, OGRE MAGI, URSA, JUGGERNAUT, TEMPLAR ASSASSIN
FACELESS VOID, CENTAUR WARRUNNER, ALCHEMIST, LEGION COMMANDER, NECROPHOS, SAND KING, ENIGMA, URSA, ANCIENT APPARITION, WEAVER
SNIPER, CRYSTAL MAIDEN, PHANTOM ASSASSIN, PUDGE, EARTHSHAKER, WEAVER, INVOKER, ENIGMA, RUBICK, RIKI
SLARK, FACELESS VOID, OMNIKNIGHT, KEEPER OF THE LIGHT, INVOKER, PUDGE, WITCH DOCTOR, ANTI-MAGE, TINKER, MIRANA
INVOKER, GYROCOPTER, VIPER, DOOM, SLARDAR, SILENCER, SNIPER, RIKI, LUNA, ENIGMA
MIRANA, SLARDAR, TREANT PROTECTOR, SLARK, OUTWORLD DEVOURER, MEDUSA, TIDEHUNTER, ANCIENT APPARITION, TROLL WARLORD, RIKI
ANTI-MAGE, MAGNUS, TIMBERSAW, WITCH DOCTOR, SKYWRATH MAGE, TROLL WARLORD, SILENCER, LEGION COMMANDER, WEAVER, AXE
PHANTOM ASSASSIN, ABADDON, WEAVER, TIDEHUNTER, TREANT PROTECTOR, CENTAUR WARRUNNER, RAZOR, ANTI-MAGE, OGRE MAGI, SNIPER
VENGEFUL SPIRIT, TEMPLAR ASSASSIN, INVOKER, BEASTMASTER, CENTAUR WARRUNNER, SHADOW SHAMAN, STORM SPIRIT, JUGGERNAUT, MIRANA, BRISTLEBACK
SNIPER, NYX ASSASSIN, INVOKER, BRISTLEBACK, PUDGE, DAZZLE, BLOODSEEKER, SILENCER, JAKIRO, ANTI-MAGE
SLARDAR, TUSK, SILENCER, TERRORBLADE, TIMBERSAW, INVOKER, MAGNUS, AXE, CRYSTAL MAIDEN, LION
EMBER SPIRIT, TINKER, OGRE MAGI, BEASTMASTER, LUNA, JUGGERNAUT, NECROPHOS, NYX ASSASSIN, SPIRIT BREAKER, LEGION COMMANDER
LIFESTEALER, SLARDAR, SKYWRATH MAGE, DRAGON KNIGHT, SNIPER, LUNA, INVOKER, TIMBERSAW, VENGEFUL SPIRIT, LEGION COMMANDER
INVOKER, OUTWORLD DEVOURER, RUBICK, TREANT PROTECTOR, EMBER SPIRIT, SPECTRE, TECHIES, ABADDON, WEAVER, WINDRANGER
SLARDAR, LION, JUGGERNAUT, OUTWORLD DEVOURER, SPIRIT BREAKER, EMBER SPIRIT, RIKI, ANTI-MAGE, VIPER, OMNIKNIGHT
CRYSTAL MAIDEN, VENGEFUL SPIRIT, TINKER, JUGGERNAUT, LIFESTEALER, LION, KEEPER OF THE LIGHT, SPECTRE, SILENCER, BLOODSEEKER
WRAITH KING, MIRANA, SLARDAR, SNIPER, TIMBERSAW, LIFESTEALER, PUDGE, NATURES PROPHET, SHADOW FIEND, SPECTRE
TIMBERSAW, SPECTRE, ABADDON, WEAVER, DISRUPTOR, BRISTLEBACK, SLARK, SPIRIT BREAKER, SKYWRATH MAGE, INVOKER
VENOMANCER, PHANTOM LANCER, RUBICK, INVOKER, SLARK, PUDGE, URSA, BLOODSEEKER, NYX ASSASSIN, ANCIENT APPARITION
JUGGERNAUT, ALCHEMIST, PHOENIX, EARTH SPIRIT, MIRANA, TROLL WARLORD, SHADOW FIEND, SLARDAR, WRAITH KING, OGRE MAGI
EMBER SPIRIT, INVOKER, MIRANA, CHAOS KNIGHT, OGRE MAGI, KUNKKA, JUGGERNAUT, EARTH SPIRIT, ZEUS, SILENCER
URSA, SNIPER, RUBICK, CENTAUR WARRUNNER, OGRE MAGI, DROW RANGER, ORACLE, KUNKKA, FACELESS VOID, SAND KING
RUBICK, INVOKER, SLARDAR, VENOMANCER, PHANTOM ASSASSIN, AXE, NYX ASSASSIN, ORACLE, SNIPER, JUGGERNAUT
ALCHEMIST, WEAVER, CRYSTAL MAIDEN, PUDGE, LEGION COMMANDER, WRAITH KING, MIRANA, MAGNUS, ANCIENT APPARITION, SHADOW FIEND
SHADOW FIEND, WEAVER, PUDGE, PUCK, AXE, MIRANA, RIKI, PHANTOM ASSASSIN, VENOMANCER, SLARDAR
SAND KING, RIKI, PUDGE, LEGION COMMANDER, EMBER SPIRIT, INVOKER, JUGGERNAUT, SLARDAR, LUNA, SHADOW DEMON
WINDRANGER, INVOKER, SLARDAR, AXE, MIRANA, VIPER, WITCH DOCTOR, DRAGON KNIGHT, CLOCKWERK, SNIPER
MORPHLING, MIRANA, TINY, EMBER SPIRIT, PUGNA, TINKER, GYROCOPTER, TERRORBLADE, CRYSTAL MAIDEN, NECROPHOS
MIRANA, SLARDAR, MAGNUS, JUGGERNAUT, CLOCKWERK, LUNA, RUBICK, SHADOW FIEND, CENTAUR WARRUNNER, PUDGE
ANTI-MAGE, INVOKER, WINDRANGER, LEGION COMMANDER, CENTAUR WARRUNNER, KEEPER OF THE LIGHT, FACELESS VOID, ZEUS, JUGGERNAUT, SLARDAR
WINTER WYVERN, JUGGERNAUT, NYX ASSASSIN, DRAGON KNIGHT, BOUNTY HUNTER, OMNIKNIGHT, PHANTOM ASSASSIN, NAGA SIREN, RIKI, SAND KING
PUDGE, MIRANA, DEATH PROPHET, TECHIES, SHADOW FIEND, RUBICK, PHANTOM ASSASSIN, PHOENIX, INVOKER, SLARK
WINDRANGER, BLOODSEEKER, SLARK, NYX ASSASSIN, PUDGE, TIDEHUNTER, VENGEFUL SPIRIT, TINY, BREWMASTER, SNIPER
MIRANA, ANTI-MAGE, PUDGE, DROW RANGER, LICH, WEAVER, ENIGMA, URSA, SHADOW FIEND, RIKI
LEGION COMMANDER, WINDRANGER, DAZZLE, VIPER, PUDGE, NECROPHOS, SLARK, ZEUS, CLOCKWERK, JUGGERNAUT
EARTHSHAKER, INVOKER, PHOENIX, MAGNUS, SHADOW FIEND, CLINKZ, EMBER SPIRIT, LUNA, LION, TUSK
ABADDON, SLARDAR, EMBER SPIRIT, RUBICK, SNIPER, INVOKER, LUNA, PUDGE, VENGEFUL SPIRIT, TREANT PROTECTOR
HUSKAR, EARTH SPIRIT, AXE, PHANTOM ASSASSIN, VENGEFUL SPIRIT, ABADDON, OGRE MAGI, SPIRIT BREAKER, RAZOR, TEMPLAR ASSASSIN
PUDGE, NECROPHOS, JUGGERNAUT, LEGION COMMANDER, LION, WRAITH KING, JAKIRO, CRYSTAL MAIDEN, MIRANA, TROLL WARLORD
MIRANA, OGRE MAGI, BRISTLEBACK, LEGION COMMANDER, PHANTOM ASSASSIN, SILENCER, ANTI-MAGE, KEEPER OF THE LIGHT, WITCH DOCTOR, SLARK
SLARK, KUNKKA, WRAITH KING, OGRE MAGI, TEMPLAR ASSASSIN, HUSKAR, EARTHSHAKER, SHADOW SHAMAN, ANTI-MAGE, PUCK
PUDGE, SLARK, OGRE MAGI, BREWMASTER, INVOKER, JUGGERNAUT, LION, TEMPLAR ASSASSIN, TIDEHUNTER, BLOODSEEKER
PUDGE, BRISTLEBACK, PHANTOM LANCER, VENGEFUL SPIRIT, SHADOW FIEND, TIMBERSAW, LINA, RIKI, SNIPER, CLOCKWERK
RUBICK, SLARK, MIRANA, STORM SPIRIT, PUDGE, MAGNUS, SILENCER, PUCK, BOUNTY HUNTER, SPECTRE
MORPHLING, SVEN, OGRE MAGI, AXE, INVOKER, HUSKAR, NECROPHOS, EMBER SPIRIT, SILENCER, PHANTOM ASSASSIN
INVOKER, WITCH DOCTOR, OGRE MAGI, SLARK, NECROPHOS, SLARDAR, SKYWRATH MAGE, LONE DRUID, WINDRANGER, JUGGERNAUT
MORPHLING, PHANTOM ASSASSIN, ALCHEMIST, SLARDAR, SAND KING, ANCIENT APPARITION, EMBER SPIRIT, WEAVER, AXE, LONE DRUID
QUEEN OF PAIN, LEGION COMMANDER, CENTAUR WARRUNNER, DROW RANGER, VENGEFUL SPIRIT, INVOKER, SLARK, SPIRIT BREAKER, RUBICK, PHANTOM ASSASSIN
BANE, MIRANA, INVOKER, ANTI-MAGE, SLARDAR, SNIPER, PUDGE, CRYSTAL MAIDEN, DROW RANGER, OGRE MAGI
MAGNUS, LEGION COMMANDER, LION, RIKI, STORM SPIRIT, PUDGE, PHANTOM ASSASSIN, PHANTOM LANCER, SLARDAR, INVOKER
OUTWORLD DEVOURER, BOUNTY HUNTER, HUSKAR, MIRANA, URSA, ANTI-MAGE, OMNIKNIGHT, WINDRANGER, RIKI, TREANT PROTECTOR
SLARK, SHADOW FIEND, CENTAUR WARRUNNER, VENGEFUL SPIRIT, KEEPER OF THE LIGHT, SNIPER, DAZZLE, LEGION COMMANDER, LUNA, AXE
LONE DRUID, SPIRIT BREAKER, WEAVER, SKYWRATH MAGE, LEGION COMMANDER, MAGNUS, PHANTOM LANCER, PUDGE, MIRANA, RUBICK
SNIPER, SLARDAR, VENGEFUL SPIRIT, SVEN, CLINKZ, STORM SPIRIT, ANTI-MAGE, CRYSTAL MAIDEN, VIPER, ALCHEMIST
JUGGERNAUT, SNIPER, PHOENIX, SPECTRE, WITCH DOCTOR, LEGION COMMANDER, NECROPHOS, VIPER, PHANTOM ASSASSIN, WARLOCK
INVOKER, MIRANA, JUGGERNAUT, PHANTOM ASSASSIN, LUNA, MEDUSA, SAND KING, NECROPHOS, SLARK, NATURES PROPHET
NECROPHOS, EARTHSHAKER, SLARK, LEGION COMMANDER, PHANTOM ASSASSIN, TERRORBLADE, PUDGE, AXE, WINDRANGER, ANTI-MAGE
VENOMANCER, SLARDAR, PHANTOM ASSASSIN, SNIPER, TIDEHUNTER, CENTAUR WARRUNNER, LIFESTEALER, EMBER SPIRIT, KEEPER OF THE LIGHT, NECROPHOS
EARTHSHAKER, OUTWORLD DEVOURER, MORPHLING, FACELESS VOID, NYX ASSASSIN, SVEN, ENIGMA, KUNKKA, ANTI-MAGE, STORM SPIRIT
BLOODSEEKER, SILENCER, QUEEN OF PAIN, JUGGERNAUT, PUDGE, LICH, NATURES PROPHET, SVEN, MORPHLING, AXE
DEATH PROPHET, TINKER, IO, SPECTRE, DAZZLE, KEEPER OF THE LIGHT, SAND KING, PUDGE, SPIRIT BREAKER, PHANTOM ASSASSIN
WINDRANGER, RIKI, ANTI-MAGE, PHOENIX, EMBER SPIRIT, CRYSTAL MAIDEN, INVOKER, JUGGERNAUT, CENTAUR WARRUNNER, LUNA
INVOKER, DARK SEER, RUBICK, PHANTOM ASSASSIN, VENOMANCER, CENTAUR WARRUNNER, BLOODSEEKER, WINDRANGER, PHANTOM LANCER, EARTHSHAKER
TEMPLAR ASSASSIN, TIMBERSAW, PUDGE, DAZZLE, VENOMANCER, MORPHLING, SLARK, LEGION COMMANDER, SHADOW FIEND, BATRIDER
TIMBERSAW, LEGION COMMANDER, PHANTOM ASSASSIN, TINKER, LINA, RUBICK, SNIPER, INVOKER, FACELESS VOID, AXE
ALCHEMIST, LUNA, AXE, NECROPHOS, WRAITH KING, SPECTRE, ABADDON, PHANTOM ASSASSIN, SNIPER, OMNIKNIGHT
JUGGERNAUT, ABADDON, WINDRANGER, SLARDAR, VIPER, NECROPHOS, CRYSTAL MAIDEN, BOUNTY HUNTER, BRISTLEBACK, SLARK
INVOKER, LUNA, RIKI, RUBICK, BLOODSEEKER, ZEUS, SVEN, MAGNUS, SNIPER, IO
PHANTOM ASSASSIN, RUBICK, TINKER, PUDGE, BRISTLEBACK, TIMBERSAW, INVOKER, LION, ANTI-MAGE, LONE DRUID
PUDGE, SILENCER, SLARDAR, JUGGERNAUT, INVOKER, RIKI, AXE, ZEUS, SHADOW FIEND, DEATH PROPHET
WEAVER, LONE DRUID, CENTAUR WARRUNNER, BOUNTY HUNTER, PHOENIX, URSA, AXE, ABADDON, ZEUS, CLINKZ
PHANTOM ASSASSIN, DARK SEER, AXE, WARLOCK, SLARK, WRAITH KING, PUCK, PHANTOM LANCER, LEGION COMMANDER, SNIPER
NYX ASSASSIN, PUDGE, WINTER WYVERN, VIPER, SHADOW FIEND, TUSK, LION, MIRANA, ZEUS, SVEN
TIMBERSAW, CRYSTAL MAIDEN, INVOKER, EMBER SPIRIT, PUDGE, SLARK, OGRE MAGI, AXE, SHADOW FIEND, EARTHSHAKER
WEAVER, DROW RANGER, PHANTOM ASSASSIN, PUDGE, URSA, LEGION COMMANDER, DISRUPTOR, MORPHLING, SLARK, INVOKER
VISAGE, EMBER SPIRIT, TINY, TINKER, ENCHANTRESS, INVOKER, LION, WRAITH KING, NECROPHOS, NYX ASSASSIN
QUEEN OF PAIN, CLOCKWERK, WITCH DOCTOR, LEGION COMMANDER, ANTI-MAGE, MORPHLING, TINY, NATURES PROPHET, DAZZLE, SNIPER
PUDGE, SLARK, SNIPER, EMBER SPIRIT, PHOENIX, EARTHSHAKER, INVOKER, ANTI-MAGE, LEGION COMMANDER, BLOODSEEKER
SPIRIT BREAKER, LIFESTEALER, BOUNTY HUNTER, TINKER, CLINKZ, SHADOW DEMON, ALCHEMIST, BLOODSEEKER, WEAVER, PUDGE
LEGION COMMANDER, TUSK, ALCHEMIST, NYX ASSASSIN, DROW RANGER, OUTWORLD DEVOURER, SNIPER, MIRANA, JUGGERNAUT, AXE
SNIPER, LICH, WRAITH KING, WINDRANGER, SPECTRE, LEGION COMMANDER, DISRUPTOR, ABADDON, KUNKKA, INVOKER
MIRANA, OGRE MAGI, LION, SNIPER, INVOKER, TEMPLAR ASSASSIN, NECROPHOS, WEAVER, PHANTOM ASSASSIN, EARTHSHAKER
JAKIRO, MEDUSA, PUGNA, BLOODSEEKER, MAGNUS, TINKER, ANTI-MAGE, LUNA, SHADOW DEMON, LESHRAC
CRYSTAL MAIDEN, LONE DRUID, PUDGE, PHANTOM ASSASSIN, RIKI, SLARDAR, OGRE MAGI, KUNKKA, TROLL WARLORD, MIRANA
